,state,name,type,city,county,enroll,mmr,overall,xrel,xmed,xper
178,Arizona,Gary A Knox Elementary,Public,Yuma,Yuma,81.0,98.77,92.06,4.33,2.0,1.23
179,Arizona,Excelencia,Public,Phoenix,Maricopa,80.0,98.75,92.06,4.33,2.0,1.25
180,Arizona,Hartford Sylvia Encinas Elementary,Public,Chandler,Maricopa,80.0,98.75,92.06,4.33,2.0,2.5
181,Arizona,Gateway,Public,Phoenix,Maricopa,79.0,98.73,92.06,4.33,2.0,1.27
182,Arizona,Loma Linda Elementary,Public,Phoenix,Maricopa,79.0,98.73,92.06,4.33,2.0,7.53
183,Arizona,P T Coe Elementary,Public,Phoenix,Maricopa,79.0,98.73,92.06,4.33,2.0,1.27
184,Arizona,Copper King Elementary,Public,Phoenix,Maricopa,78.0,98.72,92.06,4.33,2.0,1.28
185,Arizona,Drexel Elementary,Public,Tucson,Pima,77.0,98.7,92.06,4.33,2.0,1.3
186,Arizona,Sunset Vista Elementary,Public,Glendale,Maricopa,77.0,98.7,92.06,4.33,1.3,1.3
187,Arizona,Sheely Farms Elementary,Public,Phoenix,Maricopa,76.0,98.68,92.06,4.33,2.0,1.32
188,Arizona,Cordova Elementary,Public,Phoenix,Maricopa,75.0,98.67,92.06,4.33,2.0,1.33
189,Arizona,Willcox Elementary,Public,Willcox,Cochise,75.0,98.67,92.06,4.33,2.0,7.53
190,Arizona,Crown Charter,Charter,Litchfield Park,Maricopa,74.0,98.65,92.06,4.33,2.0,1.35
191,Arizona,Riverview,Public,El Mirage,Maricopa,74.0,98.65,92.06,4.33,2.0,4.05
192,Arizona,Alta E Butler,Public,Phoenix,Maricopa,73.0,98.63,92.06,4.33,2.0,7.53
193,Arizona,Harold W Smith,Public,Glendale,Maricopa,73.0,98.63,92.06,4.33,2.0,7.53
194,Arizona,Laveen Elementary,Public,Laveen,Maricopa,73.0,98.63,92.06,4.33,2.0,1.37
195,Arizona,Madison Traditional Academy,Public,Phoenix,Maricopa,73.0,98.63,92.06,4.33,2.0,1.37
